source_file,brand,model,price_raw,price_usd,seats,body_type,fuel,url,spec_antilock_braking_system_abs,spec_antitheft_system,spec_apple_carplay_and_android_auto,spec_apple_carplay_or_android_auto,spec_audio_system,spec_automatic_high_beam_ahb,spec_blind_spot_monitor_bsm,spec_body_type,spec_charging_ports,spec_child_locks,spec_child_restraint_system,spec_cruise_control,spec_daytime_running_lights,spec_displacement,spec_drive_mode_select,spec_drive_type,spec_dynamic_radar_cruise_control_drcc,spec_emergency_stop_signal,spec_engine_type,spec_fifth_row,spec_fog_lamps,spec_fourth_row,spec_front,spec_front_row,spec_fuel_tank_capacity,spec_fullspeed_range_adaptive_cruise_control_acc,spec_gross_vehicle_weight,spec_ground_clearance,spec_headup_display_hud,spec_high_mount_stop_lamp,spec_hillstart_assist_control,spec_ignition,spec_kerb_weight,spec_lane_departure_prevention_ldp,spec_lane_departure_warning_ldw,spec_lane_keeping_control_lkc,spec_length___width___height,spec_leveling,spec_levelling,spec_max_output,spec_max_torque,spec_maximum_output,spec_maximum_torque,spec_minimum_turning_radius_tire,spec_multiinformation_display_mid,spec_panoramic_view_monitor_pvm,spec_parking_brake,spec_parking_sensors,spec_precollision_braking_pcb,spec_precollision_warning_pcw,spec_rear,spec_rear_window_defogger,spec_reverse_camera,spec_safety_rating,spec_seating_capacity,spec_second_row,spec_side_view_mirrors,spec_smart_entry,spec_spare_tire__rim,spec_srs_airbags,spec_steering,spec_steering_column,spec_steering_type,spec_steering_wheel_controls,spec_third_row,spec_tire__disc_wheels,spec_tire_pressure_warning_system_tpws,spec_transmission,spec_transmission_type,spec_type,spec_tyres,spec_vehicle_stability_control_vsc,spec_wheelbase,spec_windshield_wipers,spec_wireless_charger,spec_wireless_charging
corolla-cross-gasoline.json,Toyota,COROLLA CROSS GASOLINE,"$47,900",47900,5,SUV,gasoline,https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specifications,Included,Immobilizer & alarm,Included,,10-inch display,,Included,SUV,Read USB type-c (x2),Rear doors,ISOFIX (x2),With full speed range adaptive,Included,"1,798 cc",,Front-wheel drive (FWD),,Included,"1.8 L, 4-cylinder gasoline, in-line, 16-valve DOHC, Dual VVT-i",,,,"1,559 mm",3-point Emergency Locking Retractor (ELR),36 L,,"1,850 kg",161 mm,Not available,LED,Included,Push start,"1,430 kg",,,,"4,460 / 1,825 / 1,620 mm",Manual,,,,"97 HP (72 kW) @ 5,200 RPM","142 Nm @ 4,200 RPM",5.2 m,12.3-inch digital,Included,,"Front (x2), rear (x4)",,,"1,571 mm",Included,Included,,5,3-point Emergency Locking Retractor (ELR),"Auto retractable, LED welcome light",Included,T155/70 D17,"7 (1 driver,1 knee, 1 front passenger, 2 side, 2 curtain shield)",,Tilt & telescopic,Electric power steering,"Adaptive Cruise Control, Lane Keeping Assist",,225/50 R18 Alloy,Included,,7-speed CVT,LED,,Included,"2,640 mm","Automatic, rain sensor",,Included
corolla-cross-hybrid-electric.json,Toyota,Corolla Cross HEV,"$49,900",49900,5,SUV,hybrid,https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric.html,Included,Immobilizer & alarm,Included,,10-inch display,,Included,SUV,Rear USB type-c (x2),Rear doors,ISOFIX (x2),With full speed range adaptive,Included,"1,798 cc",,Front-wheel drive (FWD),,Included,"1.8 L, 4-cylinder gasoline, in-line, 16-valve DOHC, Dual VVT-i",,,,"1,559 mm",3-point Emergency Locking Retractor (ELR),36 L,,"1,850 kg",161 mm,Not available,LED,Included,Push start,"1,430 kg",,,,"4,460 / 1,825 / 1,620 mm",Manual,,,,"97 HP (72 kW) @ 5,200 RPM","142 Nm @ 4,200 RPM",5.2 m,12.3-inch digital,Included,,"Front (x2), rear (x4)",,,"1,571 mm",Included,Included,,5,3-point Emergency Locking Retractor (ELR),"Auto retractable, LED welcome light",Included,T155/70 D17,"7 (1 driver,1 knee, 1 front passenger, 2 side, 2 curtain shield)",,Tilt & telescopic,Electric power steering,"Adaptive Cruise Control, Lane Keeping Assist",,225/50 R18 Alloy,Included,,7-speed CVT,LED,,Included,"2,640 mm","Automatic, rain sensor",,Included
fortuner-legender.json,Toyota,Fortuner Legender,"$65,500",65500,7,SUV,diesel,https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications,Included,Immobilizer & horn,Included,,"9-inch touchscreen display, Bluetooth, 10 JBL speakers with 1 subwoofer",,Included,SUV,"USB (x1), 12V (x2), wireless (x1)",Rear doors,"ISOFIX (x2), tether anchor (x2)",Included,Included,"2,755 cc",,4WD,,Included,"2.8 L, 4-cylinder diesel, in-line, 16-valve DOHC",,LED,,"1,545 mm",3-point Emergency Locking Retractor (ELR) with pretensioner and force limiter (x2),80 L,,"2,740 kg",279 mm,Not available,,Included,Push start,"2,180 kg",,,,"4,795 / 1,855 / 1,835 mm",Automatic,,,,"201 HP (150 kW) @ 3,400 RPM","500 Nm @ 1,600 - 2,800 RPM",5.8 m,4.2-inch TFT,Included,,"Front (x2), rear (x4)",,,"1,555 mm",,Included,5 stars,7,3-point ELR (x3),"Power adjustable, retractable, turn signal, welcome light",Included,"Ground tire, alloy wheel","7 (1 driver, 1 driver's knee, 1 front passenger, 2 side, 2 curtain shield)",,Manual tilt & telescopic with electric lock,Variable Flow Control (VFC) power steering,"Audio, telephone, voice recognition, MID, Adaptive Cruise Control, Lane Departure Alert",3-point ELR (x2),265/60 R18 aluminum,Not available,,6-speed automatic,Bi-beam LED,,Included,"2,745 mm","Intermittent, time adjustable, mist",,Included
hiace-12-seater.json,Toyota,Hiace 12-seater,"$39,900",39900,12,BUS,diesel,https://www.toyota.com.kh/en/models/hiace/hiace-12-seater.html#specifications,Included,Not available,Not available,,2 speakers,,Not available,BUS,Not available,Not available,Not available,Not available,Not available,"2,494 cc",,Front-wheel drive (FWD),,Not available,"2.5 L, 4-cylinder diesel, in-line",,Not available,4 Fold-up,3-point emergency locking retractor (ELR) with pretensioner (x2),2 4-way manual adjustable,70 L,,"2,800 kg",185 mm,Not available,,Not available,Key,"1,900 kg",,,,"4,695 / 1,695 / 1,980 mm",Not available,,,,"101 HP (75 kW) @ 3,600 RPM","260 Nm @ 1,600 RPM",5.0 m,Segment LCD,Not available,,Not available,,,2-point fixed (x9),,Included,,12,3,Included,Not available,Ground tire,"2 (1 driver, 1 front passenger)",,Manual tilt,,,3,,Not available,,5-speed manual,Halogen,195 / R15 C,Not available,"2,570 mm",Intermittent,TBC,
hiace-16-seater.json,Toyota,Hiace 16-seater,"$49,900",49900,16,Bus,diesel,https://www.toyota.com.kh/en/models/hiace/hiace-16-seater.html#specifications,Included,Not available,Not available,,2 speakers,,Not available,Bus,Not available,Not available,Not available,Not available,Not available,"2,494 cc",,Front-wheel drive (FWD),,Not available,"2.5 L, 4-cylinder diesel, in-line",4 Fold-up,Not available,3,3-point emergency locking retractor (ELR) with pretensioner (x2),3 4-way manual adjustable (driver and front passenger only),70 L,,"3,300 kg",185 mm,Not available,,Not available,Key,"2,145 kg",,,,"5,380 / 1,880 / 2,285 mm",Not available,,,,"102 HP (75 kW) @ 3,600 RPM","260 Nm @ 1,600 RPM",6.2 m,Segment LCD,Not available,,Not available,,,2-point fixed (x9),,Included,,16,3,Included,Not available,Ground tire,"2 (1 driver, 1 front passenger)",,Manual tilt,,,3,195 / R15 C,Not available,,5 M/T,Halogen,,Not available,"3,110 mm",Intermittent,TBC,
hilux-revo-rally.json,Toyota,Hilux Revo Rally,"$50,600",50600,5,Pickup,diesel,https://www.toyota.com.kh/en/models/hilux-revo/hilux-revo-rally.html#specifications,Included,Immobilizer & horn,Wireless,,"9-inch touchscreen display, Bluetooth, 9 JBL speakers with subwoofer",,Included,Pickup,12V (x2),Rear doors,"ISOFIX (x2), tether anchor (x2)",Included,Included,"2,755 cc",,Four-wheel drive (4WD),,Included,"2.8 L, 4-cylinder diesel, in-line, 16-valve DOHC",,LED,,"1,540 mm",3-point Emergency Locking Retractor (ELR) with pretensioner and force limiter (x2),80 L,,"2,910 kg",310 mm,Not available,,Included,Push start,"2,110 kg",,,,"5,325 / 1,855 / 1,815 mm",Automatic,,,,"201 HP (150 kW) @ 3,400 RPM","500 Nm @ 1,600 - 2,800 RPM",5.8 m,4.2-inch,Included,,"Front (x2), rear (x4)",,,"1,550 mm",,Included,4 stars,5,3-point ELR (x3),"Power adjustable, retractable, turn signal, welcome light",Included,"Ground tire, alloy wheel","7 (1 driver, 1 driver's knee, 1 front passenger, 2 side, 2 curtain shield)",,Manual tilt & telescopic with electric lock,Variable Flow Control (VFC) power steering,"Audio, telephone, voice recognition, MID, Adaptive Cruise Control, Lane Departure Alert",,265/60 R18 aluminum,Not available,,6-speed automatic,Bi-beam LED,,Included,"3,085 mm","Intermittent, time adjustable, mist",,Not available
hilux-revo-v-edition.json,Toyota,Hilux Revo V-Edition,"$40,900",40900,5,Pickup,diesel,https://www.toyota.com.kh/en/models/hilux-revo/hilux-revo-v-edition.html#specifications,Included,Immobilizer & horn,Included,,"8-inch touchscreen display, Bluetooth, 4 speakers",,Not available,Pickup,12V (x2),Rear doors,"ISOFIX (x2), tether anchor (x2)",Not available,Not available,"2,755 cc",,Four-wheel drive (4WD),,Included,"2.8 L, 4-cylinder diesel, in-line, 16-valve DOHC",,LED,,"1,540 mm",3-point Emergency Locking Retractor (ELR) with pretensioner and force limiter (x2),80 L,,"2,910 kg",310 mm,Not available,,Included,Push,"2,110 kg",,,,"5,325 / 1,855 / 1,815 mm",Manual,,,,"201 HP (150 kW) @ 3,400 RPM","500 Nm @ 1,600 - 2,800 RPM",5.8 m,4.2-inch,Not available,,Included (Front 2 / Rear 2),,,"1,550 mm",,Included,4 stars,5,3-point ELR (x3),"Power adjustable, retractable, turn signal",Smart,"Ground tire, alloy wheel","7 (1 driver, 1 driver's knee, 1 front passenger, 2 side, 2 curtain shield)",,Manual tilt & telescopic with electric lock,Variable Flow Control (VFC) power steering,"Audio, telephone, voice recognition, MID",,265/65 R17 aluminum,Not available,,6-speed automatic,LED,,Included,"3,085 mm","Intermittent, time adjustable, mist",,Not available
land-cruiser-250-diesel.json,Toyota,Land Cruiser 250 Diesel,"$155,000",155000,7,SUV,diesel,https://www.toyota.com.kh/en/models/land-cruiser-250/land-cruiser-250-diesel.html#specifications,Included,Immobilizer & horn,wireless,,"12.3-inch touchscreen, Bluetooth, 14 speakers",,Not available,SUV,"12V (x1), FRONT x 2, REAR1 (x2), REAR2 (x2)",Rear doors,"ISOFIX (x2), tether anchor (x2)",Included,LED,"2,755 cc",,Four-wheel drive (4WD),,Included,"2.8 L, (1GD-FTV DIESEL)",,LED,,"1,585 mm",3-point Emergency Locking Retractor (ELR) with pretensioner and force limiter (x2),80 L,,"2,560 kg",215.3 mm,Not available,,Included,Push start,"2,380 kg",,,,4925 x 1980 x 1935 mm,Automatic,,,,"201 HP (150 kW) @ 3,400 RPM","500 Nm @ 1,600 - 2,800 RPM",5.8 m,12.3-inch TFT,Included,,"Front (x4), rear (x4)",,,"1,605 mm",,Included,,7,3-point ELR (x3),"Power adjustable, reverse, camera, light",Included,Ground tire,"10 (1 driver, 1 driver's knee, 1 front passenger, 1 passenger's knee, 2 side, 2 curtain shield)",,"ELEC-TILT&TELESCO,W/O LOCK",Variable Flow Control (VFC) power steering with Adaptive Variable Suspension system,"Audio, phone, voice recognition, MID",3-point ELR (x2),"265/55 R19, aluminum",Not available,,6-speed automatic,LED,,Included,2850 mm,Rain-sensing,,Available
land-cruiser-250-gasoline.json,Toyota,Land Cruiser 250 Gasoline,"150,000",150000,7,SUV,gasoline,https://www.toyota.com.kh/en/models/land-cruiser-250/land-cruiser-250-gasoline.html#specifications,Included,Immobilizer & horn,wireless,,"12.3-inch touchscreen, Bluetooth, 14 speakers",,Not available,SUV,"12V (x1), FRONT x 2, REAR1 (x2), REAR2 (x2)",Rear doors,"ISOFIX (x2), tether anchor (x2)",Included,LED,"2,393 cc",,Four-wheel drive (4WD),,Included,"2.4 L, T24A-FTS (GASOLINE) Turbo",,LED,,"1,585 mm",3-point Emergency Locking Retractor (ELR) with pretensioner and force limiter (x2),80 L,,"2,560 kg",215.3 mm,Not available,,Included,Push start,"2,380 kg",,,,4925 x 1980 x 1935 mm,Automatic,,,,"281 HP (207 kW) @ 6,000RPM","430 Nm @ 1,700 - 3,600 RPM",5.8 m,12.3-inch TFT,Included,,"Front (x4), rear (x4)",,,"1,605 mm",,Included,,7,3-point ELR (x3),"Power adjustable, reverse, camera, light",Included,Ground tire,"10 (1 driver, 1 driver's knee, 1 front passenger, 1 passenger's knee, 3 side, 3 curtain shield)",,"ELEC-TILT&TELESCO,W/O LOCK",Variable Flow Control (VFC) power steering with Adaptive Variable Suspension system,"Audio, phone, voice recognition, MID",3-point ELR (x2),"265/55 R19, aluminum",Not available,,8-speed automatic,LED,,Included,2850 mm,Rain-sensing,,Available
land-cruiser-gr-s.json,Toyota,LAND CRUISER GR-S,"$198,300",198300,7,SUV,gasoline,https://www.toyota.com.kh/en/models/land-cruiser/land-cruiser-gr-s.html#specifications,Included,"Immobilizer, siren, intrusion & tilt sensor",Included,,"9-inch touchscreen display, Bluetooth, 10 JBL speakers with subwoofer",,Included,SUV,"USB (x3), wireless (x1)",Rear doors,"ISOFIX (x2), tether anchor (x2)",Included,LED,"3,445 cc",,Four-wheel drive (4WD),,Included,"3.5 L, V6 twin-turbo gasoline, 24-valve DOHC",,LED,,"1,667 mm",3-point Emergency Locking Retractor (ELR) with pretensioner and force limiter (x2),110 L,,"3,230 kg",235 mm,Included,,Included,Push start,"2,615 kg",,,,"4,995 / 1,990 / 1,945 mm",Automatic,,,,"409 HP (305 kW) @ 5,200 RPM","650 Nm @ 2,000 – 3,600 RPM",5.9 m,12.3 inch TFT,Included,,"Front (x4), rear (x4)",,,"1,668 mm",,Included,,7,3-point ELR (x3) with outer adjuster and outer pretensioner (x3),"Power adjustable, retractable, heating, reverse, camera, light, Blind Spot Monitor",Included,"Ground tire, alloy wheel","10 (1 driver, 1 driver's knee, 2 cockpit sides, 1 front passenger, 2 side, 3 curtain shield)",,Electric tilt & telescopic,Hydraulic power steering,"Audio, telephone, voice recognition, MID, Adaptive Cruise Control, Lane Departure Alert",3-point ELR (x2) with outer adjuster and outer pretensioner (x2),265/65 R18 alloy wheel,Included,,10-speed automatic,"Adaptive High Beam System (AHS), sequential turn signal",,Included,"2,850 mm","Intermittent, rain-sensing",Included,
